Region,Partei,Stimmtyp,Stand,Prozent,Differenz Prozent Vorwahl,Prozent Vorwahl,Ungültige Stimmen,Wahlberechtigte,Wahlbeteiligung,Differenz Wahlbeteiligung Vorwahl,Wahlbezirke ausgezählt,Wahlbezirke insgesamt,Zwischenergebnis Status
Wahlkreis 1,UFP,Zweitstimmen,Vorläufiges Ergebnis,11.3,-17.7,29,1.4,36990,94.4,-1.5,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 1,KE,Zweitstimmen,Vorläufiges Ergebnis,17.6,-9.9,27.5,1.4,36990,94.4,-1.5,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 1,KE,Erststimmen,Vorläufiges Ergebnis,9.4,9.4,,1.4,36990,94.4,-1.5,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 1,Vulkanier,Erststimmen,Vorläufiges Ergebnis,24.2,-11.8,16,1.4,36990,94.4,-1.5,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 1,Vulkanier,Zweitstimmen,Vorläufiges Ergebnis,21.3,6.2,15.1,1.4,36990,94.4,-1.5,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 1,AE,Erststimmen,Vorläufiges Ergebnis,11.7,18.8,12.9,1.4,36990,94.4,-1.5,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 1,AE,Zweitstimmen,Vorläufiges Ergebnis,31,21.5,9.5,1.4,36990,94.4,-1.5,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 1,Tellariten,Zweitstimmen,Vorläufiges Ergebnis,11.9,8,3.9,1.4,36990,94.4,-1.5,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 1,Tellariten,Erststimmen,Vorläufiges Ergebnis,23.3,19.7,3.6,1.4,36990,94.4,-1.5,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 1,Sonstige,Zweitstimmen,Vorläufiges Ergebnis,0,-8.8,8.8,1.4,36990,94.4,-1.5,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 1,Sonstige,Erststimmen,Vorläufiges Ergebnis,,,,1.4,36990,94.4,-1.5,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 2,UFP,Zweitstimmen,Vorläufiges Ergebnis,11.2,11.2,0,7.1,79565,77.8,17.3,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 2,UFP,Erststimmen,Vorläufiges Ergebnis,20,-22.4,42.4,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
Wahlkreis 2,KE,Erststimmen,Vorläufiges Ergebnis,29.1,-3.5,32.6,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
Wahlkreis 2,KE,Zweitstimmen,Vorläufiges Ergebnis,6.8,-18.6,25.4,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
Wahlkreis 2,Vulkanier,Erststimmen,Vorläufiges Ergebnis,25.2,5.2,,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
Wahlkreis 2,Vulkanier,Zweitstimmen,Vorläufiges Ergebnis,12.6,-13.1,25.7,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
Wahlkreis 2,AE,Erststimmen,Vorläufiges Ergebnis,11.3,16.9,14.4,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
Wahlkreis 2,AE,Zweitstimmen,Vorläufiges Ergebnis,7.5,-16.7,24.2,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
Wahlkreis 2,Tellariten,Erststimmen,Vorläufiges Ergebnis,18.9,6.8,12.1,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
Wahlkreis 2,Tellariten,Zweitstimmen,Vorläufiges Ergebnis,25.7,18,7.7,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
Wahlkreis 2,Sonstige,Zweitstimmen,Vorläufiges Ergebnis,0,-3.5,3.5,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
Wahlkreis 2,Sonstige,Erststimmen,Vorläufiges Ergebnis,0,-7.7,7.7,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
Wahlkreis 3,UFP,Zweitstimmen,Vorläufiges Ergebnis,,,,7.1,79565,77.8,17.3,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 3,UFP,Erststimmen,Vorläufiges Ergebnis,32.6,-22.4,26,7.1,79565,77.8,17.3,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 3,KE,Erststimmen,Vorläufiges Ergebnis,21.4,1.4,,7.1,79565,77.8,17.3,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 3,KE,Zweitstimmen,Vorläufiges Ergebnis,20.7,-9.2,29.9,7.1,79565,77.8,17.3,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 3,Vulkanier,Erststimmen,Vorläufiges Ergebnis,9.1,-7.1,16.2,7.1,79565,77.8,17.3,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 3,Vulkanier,Zweitstimmen,Vorläufiges Ergebnis,15.2,0.4,14.8,7.1,79565,77.8,17.3,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 3,AE,Zweitstimmen,Vorläufiges Ergebnis,3.5,-6,9.5,7.1,79565,77.8,17.3,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 3,AE,Erststimmen,Vorläufiges Ergebnis,20,7.4,12.6,7.1,79565,77.8,17.3,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 3,Tellariten,Zweitstimmen,Vorläufiges Ergebnis,31,27.5,3.5,7.1,79565,77.8,17.3,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 3,Tellariten,Erststimmen,Vorläufiges Ergebnis,18.1,16.9,1.2,7.1,79565,77.8,17.3,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 3,Sonstige,Zweitstimmen,Vorläufiges Ergebnis,0.6,-9,9.6,7.1,79565,77.8,17.3,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 3,Sonstige,Erststimmen,Vorläufiges Ergebnis,11.2,11.2,0,7.1,79565,77.8,17.3,26,26,15 von 26 Wahlbezirken ausgezählt
Wahlkreis 4,UFP,Erststimmen,Vorläufiges Ergebnis,20,-22.4,42.4,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
Wahlkreis 4,UFP,Zweitstimmen,Vorläufiges Ergebnis,29.1,-3.5,32.6,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
Wahlkreis 4,KE,Zweitstimmen,Vorläufiges Ergebnis,6.8,-18.6,25.4,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
Wahlkreis 4,KE,Erststimmen,Vorläufiges Ergebnis,25.2,5.2,,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
Wahlkreis 4,Vulkanier,Erststimmen,Vorläufiges Ergebnis,12.6,-13.1,25.7,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
Wahlkreis 4,Vulkanier,Zweitstimmen,Vorläufiges Ergebnis,31.3,16.9,14.4,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
Wahlkreis 4,AE,Erststimmen,Vorläufiges Ergebnis,7.5,-16.7,24.2,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
Wahlkreis 4,AE,Zweitstimmen,Vorläufiges Ergebnis,18.9,6.8,12.1,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
Wahlkreis 4,Tellariten,Erststimmen,Vorläufiges Ergebnis,15.7,18,7.7,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
Wahlkreis 4,Tellariten,Zweitstimmen,Vorläufiges Ergebnis,15.6,11.3,4.3,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
Wahlkreis 4,Sonstige,Zweitstimmen,Vorläufiges Ergebnis,0,-7.7,7.7,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
Wahlkreis 4,Sonstige,Erststimmen,Vorläufiges Ergebnis,,,,5.7,11692,65.2,4.2,24,24,14 von 24 Wahlbezirken ausgezählt
